,Answers,BERT,DistilBERT,Gold_1,Gold_2,BERT_METEOR,DistilBERT_METEOR,BERT_GLEU,DistilBERT_GLEU
3,"['the game is tied at 106', '106-106']",106 - 106,106 - 106 . 8 . 9,the game is tied at 106,106-106,0.1325966850828729,0.11631663974151857,0.05555555555555555,0.05555555555555555
5,"['a shooting star.', 'a shooting star']",2014,what did akers just see in the sky ? 2014,a shooting star.,a shooting star,0.0,0.0,0.0,0.0
9,"['ahead of the final match.', 'daviscupfinal']","november 21 , 2014","november 21 , 2014",ahead of the final match.,daviscupfinal,0.0,0.0,0.0,0.0
11,"['my favorite mall.', 'westgate']",westgate,westgate,my favorite mall.,westgate,0.0,0.0,1.0,1.0
13,"['a hole cut in the wall.', 'cut in the wall']",hole cut in the wall,looking at the hole cut in the wall,a hole cut in the wall.,cut in the wall,0.6274678405659762,0.5714088015185458,0.7777777777777778,0.5384615384615384
14,"['in the unlikely event.', 'in the unlikely event']",judy blume ( @ judyblume,judy blume,in the unlikely event.,in the unlikely event,0.0,0.0,0.0,0.0
18,"['to speak in more vague terms.', 'speak in vague but bombastic generalities']",# newyearsresolution,newyearsresolution,to speak in more vague terms.,speak in vague but bombastic generalities,0.0,0.0,0.0,0.0
19,"['he wants to make them bombastic.', 'good']",i resolve to speak in vague but bombastic,bombastic,he wants to make them bombastic.,good,0.11285266457680251,0.0,0.07692307692307693,0.05555555555555555
20,"['pay attention to the economy and ahca', 'focus on the economy']",the economy and ahca,the economy,pay attention to the economy and ahca,focus on the economy,0.5669654982407966,0.2785096899648154,0.45454545454545453,0.3
24,"['in the universe.', 'the universe']",in the universe,pattonoswalt i love you alice oswalt ! meredith salenger,in the universe.,the universe,0.5616612080957111,0.0,1.0,0.0
26,"['for the effort.', 'for the effort']",for the effort,for the effort,for the effort.,for the effort,0.5616612080957111,0.5616612080957111,1.0,1.0
39,"['he was hit by a pitch', 'hit by a pitch']",hit by a pitch,pitch,he was hit by a pitch,hit by a pitch,0.648681166136712,0.14257425742574256,1.0,0.1
40,"['donald gets things done', 'donald gets things done']",""" donald gets things done",donald gets things done,donald gets things done,donald gets things done,0.8700687717633225,0.9113970384220804,1.0,1.0
43,"['helicopter pilot skills.', 'helicopter pilot skills']",helicopter pilot,helicopter pilot,helicopter pilot skills.,helicopter pilot skills,0.5996383004580546,0.5996383004580546,0.5,0.5
45,"[""when he's of voting age."", 'when he is old enough to vote']","march 4 , 2015","march 4 , 2015",when he's of voting age.,when he is old enough to vote,0.0,0.0,0.0,0.0
47,"['breaking bad and the wire', 'the wire and breaking bad']","breaking bad ( 2008 - 13 ) was , alongside the wire",breaking bad,breaking bad and the wire,the wire and breaking bad,0.5323802920338494,0.3803574772657186,0.23076923076923078,0.21428571428571427
50,"['16 years old', '16']",16,16,16 years old,16,0.27480916030534347,0.27480916030534347,1.0,1.0
63,"['proud and honored.', 'proud and honored']",proud and honored,love and prayers,proud and honored.,proud and honored,0.5616612080957111,0.24,1.0,0.16666666666666666
67,"['lost a significant other', 'someone died']",the connection we shared,words will never be enough to justify the connection we shared,lost a significant other,someone died,0.0,0.0,0.0,0.0
71,"[""don graham's farewell party"", 'farewell party']",don graham ' s farewell party,don graham ' s farewell party,don graham's farewell party,farewell party,0.5479539453524915,0.5479539453524915,0.2857142857142857,0.2857142857142857
75,"['do ya think im sexy', ""do ya think i'm sexy""]",do ya think i ' m sexy,"do ya think i ' m sexy """,do ya think im sexy,do ya think i'm sexy,0.6263879644190088,0.6050210500133335,0.3888888888888889,0.3888888888888889
82,"['the golden globes.', 'golden globes']",# goldenglobes tonight,# goldenglobes tonight,the golden globes.,golden globes,0.0,0.0,0.0,0.0
84,"['we dont know', 'we dont know']","what happens at the end of the season , but he won ' t even tell his mom",he won ' t even tell his mom,we dont know,we dont know,0.0,0.0,0.0,0.0
85,"['stuff that has been gone ofr 15 yars', 'aim going away']",finding out a band you were really into 15 years ago broke up,i haven ’ t used aim in years doesn ’ t mean i ’ m not sad . it ’ s like finding out a band you were really into 15 years ago broke up,stuff that has been gone ofr 15 yars,aim going away,0.08044692737430167,0.05483625285605484,0.021739130434782608,0.007692307692307693
90,"['two scarves and a jacket', 'two scarves and a jacket.']",two scarves and a jacket,two scarves and a jacket,two scarves and a jacket,two scarves and a jacket.,0.9263770987333779,0.9263770987333779,1.0,1.0
92,"['half of her life', 'half my life']",half,half,half of her life,half my life,0.20991253644314864,0.20991253644314864,0.16666666666666666,0.16666666666666666
93,"['ellen degeneres and portia', 'portia & i']",portia & i,portia & i,ellen degeneres and portia,portia & i,0.1889763779527559,0.1889763779527559,0.3333333333333333,0.3333333333333333
101,"['whether he is going to die.', 'dying in dunkirk?']",dunkirk,izureen,whether he is going to die.,dying in dunkirk?,0.0,0.0,0.0,0.0
103,"['a 94 crime bill', 'crime bill']",94 crime bill,94 crime,a 94 crime bill,crime bill,0.6988199445078672,0.4654650895820811,0.6,0.3333333333333333
105,"['make her famous', 'made her famous']",made her famous,carly mallenbaum,make her famous,made her famous,0.8875013295249914,0.0,1.0,0.0
108,"['to the airwaves', 'airwaves']",to the airwaves,airwaves,to the airwaves,airwaves,0.8875013295249914,0.27480916030534347,1.0,1.0
109,"['wrote a book or start a podcast.', 'write a book or start a podcast']",write a book or start a podcast,write a book or start a podcast,wrote a book or start a podcast.,write a book or start a podcast,0.6616979276666985,0.6616979276666985,1.0,1.0
112,"['with a pretty pink ring', 'by using a m&g']",with a pretty pink,with a pretty pink @ mirandalambert,with a pretty pink ring,by using a m&g,0.7579185350703372,0.7024254631384049,0.7142857142857143,0.7142857142857143
120,"['the russian connection', 'russian']",russian connection,russian,the russian connection,russian,0.5996383004580546,0.27480916030534347,0.5,1.0
122,"['melissa mccarthy/sean spicer', 'melissa mccarthy/sean spicer']",melissa mccarthy / sean spicer,melissa mccarthy / sean spicer,melissa mccarthy/sean spicer,melissa mccarthy/sean spicer,0.4260355029585799,0.4260355029585799,0.2,0.2
123,"['the glory of the lord', 'the glory of the lord']",the glory of the lord,the glory of the lord,the glory of the lord,the glory of the lord,0.9263770987333779,0.9263770987333779,1.0,1.0
124,"['all flesh shall see it together', 'all flesh']",all flesh,all flesh,all flesh shall see it together,all flesh,0.32156176036013995,0.32156176036013995,1.0,1.0
125,"['show staples your best office mug shot', 'show your best office mug shot']",show us your best # officemugshot,show us your best # officemugshot for a chance to win a sweet coffee prize pack,show staples your best office mug shot,show your best office mug shot,0.3524285287289152,0.27554974519447906,0.2222222222222222,0.07407407407407407
127,"['martin luther king jr.', 'martin luther king']",martin luther king jr,martin luther king jr # mlkday — michelletrachtenberg,martin luther king jr.,martin luther king,0.6656259971437435,0.5593495774317172,1.0,0.45454545454545453
131,"['a sad story', 'sad story']",sad,sad,a sad story,sad story,0.27480916030534347,0.27480916030534347,0.3333333333333333,0.3333333333333333
135,"['ciara & russell', 'ciara & russell']",ciara & russell,ciara & russell,ciara & russell,ciara & russell,0.8875013295249914,0.8875013295249914,1.0,1.0
147,"['the graduate, the birdcage, and spamalot.', 'titan.']",a titan,comedy albums,"the graduate, the birdcage, and spamalot.",titan.,0.0,0.0,0.0,0.0
148,"['to spend more time with his pets.', 'spend more time with his pets.']",to spend more time with his pets,to spend more time with his pets,to spend more time with his pets.,spend more time with his pets.,0.8028996069710919,0.8028996069710919,1.0,1.0
153,"['for taking a photo', 'for taking that photo']",taking this photo,taking this photo,for taking a photo,for taking that photo,0.3779527559055118,0.3779527559055118,0.2,0.2
154,"['being in a wheelchair', 'being in a wheelchair']",in a wheelchair,they better be in a wheelchair,being in a wheelchair,being in a wheelchair,0.6988199445078672,0.8323260624859181,0.6,0.3333333333333333
157,"['on the cheek', 'on the cheek']",on the cheek,on the cheek,on the cheek,on the cheek,0.8875013295249914,0.8875013295249914,1.0,1.0
159,"['they were not.', 'no']",no surprise,no surprise,they were not.,no,0.0,0.0,0.3333333333333333,0.3333333333333333
162,"['a year and half', 'a year and a half.']",a year and a half,a year and a half,a year and half,a year and a half.,0.7441283696757398,0.7441283696757398,0.7142857142857143,0.7142857142857143
163,"['a new record', 'record']",making this record,nickjonas,a new record,record,0.24,0.0,0.16666666666666666,0.0
166,"['four shot lead', '4']",four,four,four shot lead,4,0.27480916030534347,0.27480916030534347,0.16666666666666666,0.16666666666666666
167,"['the last hole', '17']",the last,no . 17,the last hole,17,0.5996383004580546,0.0,0.5,0.3333333333333333
169,"['like you have multiple offers', 'like you have multiple offers']",like you have multiple offers,you have multiple offers,like you have multiple offers,like you have multiple offers,0.9263770987333779,0.7579185350703372,1.0,0.7142857142857143
170,"['an iowa flag', 'iowa flag']",iowa flag,iowa flag,an iowa flag,iowa flag,0.5996383004580546,0.5996383004580546,1.0,1.0
173,"['protect the american people', 'protect the american people']",to protect the american people,@ usatopinion,protect the american people,protect the american people,0.8700687717633225,0.0,0.7142857142857143,0.0
174,"['helping economy and bring more jobs', 'helping economy, bringing back jobs']",helping economy & bringing back jobs,helping economy & bringing back jobs,helping economy and bring more jobs,"helping economy, bringing back jobs",0.6394495550004334,0.6394495550004334,0.5,0.5
175,"['paul, noma and cherrelle', 'paul, noma and cherelle']","paul , noma and cherrelle","paul , noma and cherrelle","paul, noma and cherrelle","paul, noma and cherelle",0.6354424793735022,0.6354424793735022,1.0,1.0
176,"['the harry potter play', 'a harry potter play']",# harrypotterplay : pottermore,# harrypotterplay : pottermore,the harry potter play,a harry potter play,0.0,0.0,0.0,0.0
177,"['an official statement', 'an official statement']",an official statement,an official statement,an official statement,an official statement,0.8875013295249914,0.8875013295249914,1.0,1.0
178,"['shocked and heart broken', 'shocked and heartbroken']",shocked and heartbroken,shocked and heartbroken,shocked and heart broken,shocked and heartbroken,0.4422529197604025,0.4422529197604025,1.0,1.0
185,"['the red wings', 'the red wings.']",mike green,the red wings,the red wings,the red wings.,0.0,0.8875013295249914,0.0,1.0
186,"['his pr team', 'pr team']",his pr team,his pr team,his pr team,pr team,0.8875013295249914,0.8875013295249914,1.0,1.0
187,"[""at the crowd's mouths"", 'mouths']",the crowd ' s mouths,mouths,at the crowd's mouths,mouths,0.3436754176610978,0.20991253644314864,0.2,1.0
188,"['the prayers and hymns by heart', 'prayers & hymns']",prayers & hymns by heart,prayers & hymns by heart,the prayers and hymns by heart,prayers & hymns,0.580028786329478,0.580028786329478,0.3888888888888889,0.3888888888888889
190,"['kenien mentioned it', 'hashtag ead trump']",@ questlove,alexander pettyton,kenien mentioned it,hashtag ead trump,0.0,0.0,0.0,0.0
191,"['mcconaughey driving students', 'matthew mconaughey driving students around']","driving students around for surewalk "" take them to the pcl """,take them to the pcl,mcconaughey driving students,matthew mconaughey driving students around,0.3577459924176505,0.0,0.17647058823529413,0.0
192,"['around the surewalk', 'around for surewalk']",around for surewalk,around for surewalk,around the surewalk,around for surewalk,0.48,0.48,1.0,1.0
193,"['gma and taylor swift', 'gma and taylorswift13']",@ dunderswiftlin,a whole,gma and taylor swift,gma and taylorswift13,0.0,0.0,0.0,0.0
194,"['whole new level yespls', 'whole new level yespls']",new . level . yespls — ts,blank space taken to a whole . new . level . yespls,whole new level yespls,whole new level yespls,0.47264770240700216,0.5217391304347826,0.42857142857142855,0.3333333333333333
196,"['the liberation station', 'liberation station']",liberation station,liberation station,the liberation station,liberation station,0.5996383004580546,0.5996383004580546,1.0,1.0
197,"['iroquois high school', 'iroquois high school']",iroquois high school,iroquois high school,iroquois high school,iroquois high school,0.8875013295249914,0.8875013295249914,1.0,1.0
202,"['a lot of people', 'a lot of people.']",a lot of people,"a lot of people asked why a korean group was playing coachella , we ' re here to show you why a korean group is playing coachella "" # epikhigh — fuse tv",a lot of people,a lot of people.,0.9113970384220804,0.3543603836566001,1.0,0.09090909090909091
205,"['donna the elephant', 'donna the elephant']",donna the elephant,donna the elephant,donna the elephant,donna the elephant,0.8875013295249914,0.8875013295249914,1.0,1.0
206,"['they are nervous.', 'nervous']",nervous,nervous,they are nervous.,nervous,0.0,0.0,1.0,1.0
211,"['sterling k. brown', 'sterling brown']",mandy moore,mandy moore,sterling k. brown,sterling brown,0.0,0.0,0.0,0.0
218,"['this is what the truth feel like tour', 'this is what the truth feels like tour']",# thisiswhatthetruthfeelsliketour,thisiswhatthetruthfeelsliketour,this is what the truth feel like tour,this is what the truth feels like tour,0.0,0.0,0.0,0.0
219,"['see dates and rsvp', 'dates']",dates & rsvp,dates & rsvp,see dates and rsvp,dates,0.3779527559055118,0.3779527559055118,0.3333333333333333,0.3333333333333333
220,"['the upper hand', 'the upper hand']",the upper hand,the upper hand,the upper hand,the upper hand,0.8875013295249914,0.8875013295249914,1.0,1.0
230,"['governor jay nixon', 'jay nixon']",governor jay nixon,governor jay nixon,governor jay nixon,jay nixon,0.8875013295249914,0.8875013295249914,1.0,1.0
231,"['so the governor can visit north stl county.', 'statement to follow']",to visit north # stl county tomorrow,to visit north # stl county tomorrow,so the governor can visit north stl county.,statement to follow,0.30730323695824746,0.30730323695824746,0.38461538461538464,0.38461538461538464
235,"['how surveillance images can be manipulated and orchestrated.', 'how they can be manipulated']",how surveillance images can be manipulated and orchestrated,how surveillance images can be manipulated and orchestrated,how surveillance images can be manipulated and orchestrated.,how they can be manipulated,0.8262769225806389,0.8262769225806389,1.0,1.0
236,"['after a shoot-around', '10:50 am dec 29,2017']","december 29 , 2017","december 29 , 2017",after a shoot-around,"10:50 am dec 29,2017",0.0,0.0,0.0,0.0
237,"['in the shower', 'shower']",saturday night live ( @ nbcsnl,@ nbcsnl,in the shower,shower,0.0,0.0,0.0,0.0
238,"['saturday night live', 'saturday night live']",saturday night live,saturday night live,saturday night live,saturday night live,0.8875013295249914,0.8875013295249914,1.0,1.0
242,"['nhl all star game', 'nhl all star']",bryzgalov interviewing ovechkin,nhlallstar,nhl all star game,nhl all star,0.0,0.0,0.0,0.0
243,"['selena & abel', 'selena & abel']",selena & abel,selena & abel,selena & abel,selena & abel,0.8875013295249914,0.8875013295249914,1.0,1.0
249,"['rain and storms', 'rain and storms']",rain & storms,rain & storms,rain and storms,rain and storms,0.48,0.48,0.3333333333333333,0.3333333333333333
