;BERT;DistilBERT;Gold_1;Gold_2;BERT_METEOR;DistilBERT_METEOR;BERT_GLEU;DistilBERT_GLEU;JUDGE;
4936;his own;sean fennessey;he followed his own path.;;0,380357477;0;0,214285714;0;0;
3491;# restartlhc splash;restartlhc splash events;#restartlhc;;0;0;0,333333333;0,166666667;1;
10066;the office of the president;the president;office of the president;;0,870068772;0,46546509;0,714285714;0,3;0;
4760;sand bags;sand bags;sand bags;;0,842491812;0,842491812;1;1;1;
5200;nobel prize;nobel prize;a noble price;;0;0;0;0;;F
2265;white hart lane;swansea city fc;white hart lane;;0,88750133;0;1;0;1;
3354;smiles;a 2003 in touch;she smiles;;0,397790055;0;0,333333333;0;0;
5832;sound check;sound check;a sound check;;0,5996383;0,5996383;0,5;0,5;0;
802;casting zoe saldana and darkening her skin;casting zoe saldana and darkening her skin;darkening skin;darkening zoe saldana's skin;0,488135593;0,488135593;0,136363636;0,136363636;0;
7168;stopping the perpetrator;stopping the perpetrator and 2 - empowering the victims;stopping the perpetrator.;;0,561661208;0,347826087;1;0,230769231;1;
314;tom hiddleston;tom hiddleston;tom hiddleston;tim hiddleston;0,842491812;0,842491812;1;1;1;
1249;pro - putin;pro - putin;putin.;;0;0;0,333333333;0,333333333;1;
2343;2022;2022;2022;;0,72;0,72;1;1;1;
6548;empire state building;empire state building;the empire state building.;;0,44225292;0,44225292;0,6;0,6;1;
3056;more affordable health care;what matters in long run is better , more affordable health care for americans;health care;;0,707976313;0,393687763;0,3;0,065217391;0;
865;#NAME?;west;bette midler;bettemidler;0;0;1;0;1;
4042;rose mcgowan;rose mcgowan;hollywood.;;0;0;0;0;;C
1211;2;2;2 hours;;0,397790055;0,397790055;0,333333333;0,333333333;0;
1672;#NAME?;mrbradgoreski;kathy griffin, guilana rancic and kelly osbourne;;0;0;0;0;;C
6585;royalsegolene;"royalsegolene : "" we have the solutions to # climatechange";unfccc un climate change;;0;0;0;0;;C
126;a sweet coffee prize pack;sweet coffee prize pack;coffee;coffee prize pack;0,409090909;0,458598726;0,428571429;0,6;1;
1029;caitlyn;caitlyn;caitlyn;;0,72;0,72;1;1;1;
9867;using # biggie20;using # biggie20 !;using biggie20;;0,657534247;0,605042017;1;1;1;
6524;russia;russia;russia;;0,72;0,72;1;1;1;
1634;# mynypd;the internet;#mynypd;;0;0;1;0;1;
5902;marty kudelka;marty kudelka;marty kudelka;;0,842491812;0,842491812;1;1;1;
